Area,Bank,Zone,Stand,Asset,NetWin,Old Denom,New Denom,Old Payback %,New Payback %,Date
1,48,2,1,1097,-6258,0.5,2,95.17,94,25/06/19
1,48,2,2,1095,54995,0.5,2,95.17,94,25/06/19
1,48,2,3,1098,-10257,0.5,2,95.17,94,25/06/19
1,48,2,4,1224,-7123,0.5,2,95.17,94,25/06/19
1,2,1,1,8028,40200,1,1,92.59,95.08,24/06/19
1,2,1,2,8029,0,1,1,92.5,92.5,24/06/19
1,2,1,3,8030,0,1,1,94.01,94.01,24/06/19
1,2,1,4,8056,61467,1,1,92.51,94.01,24/06/19
1,2,1,5,8057,0,1,1,94.03,94.03,24/06/19
1,2,1,6,8059,-44416,1,1,92.51,92,24/06/19
1,37,1,1,8311,0,1,1,93.98,93.98,24/06/19
1,37,1,2,8301,-1610,1,1,94.03,94.01,24/06/19
1,37,1,3,8315,0,1,1,94,94,24/06/19
1,37,1,4,8297,0,1,1,93.97,93.97,24/06/19
1,37,1,5,8313,0,1,1,92.49,92.49,24/06/19
1,37,1,6,8314,0,1,1,93.97,93.97,24/06/19
1,37,1,7,8300,0,1,1,94.03,94.03,24/06/19
1,37,1,8,8299,58834,1,1,94,92.5,24/06/19
1,37,1,9,8305,0,1,1,93.98,93.98,24/06/19
1,37,1,10,8312,39372,1,1,94.99,94.01,24/06/19
1,26,1,1,9211,11542,5,1,92.05,94,16/06/19
1,26,1,2,9212,10143,5,1,92.5,94,16/06/19
1,26,1,3,9213,10143,5,1,92.5,94,16/06/19
1,26,1,4,9214,10143,5,1,92.5,94,16/06/19
1,34,1,1,4083,0,0.1,0.1,87.95,87.95,16/06/19
1,34,1,2,4085,13870,0.1,0.1,88.04,92.5,16/06/19
1,34,1,3,5032,0,0.1,0.1,87.95,87.95,16/06/19
1,34,1,4,4087,13870,0.1,0.1,88.04,92.5,16/06/19
1,34,1,5,5033,0,0.1,0.1,87.95,87.95,16/06/19
1,34,1,6,4082,0,0.1,0.1,87.95,87.95,16/06/19
1,34,1,7,4084,0,0.1,0.1,87.95,87.95,16/06/19
1,34,1,8,4080,0,0.1,0.1,88.04,88.04,16/06/19
1,34,1,9,4088,14149,0.1,0.1,87.95,92.5,16/06/19
1,34,1,10,4086,14149,0.1,0.1,87.95,92.5,16/06/19
1,99,1,1,9219,10143,5,1,92.5,94,16/06/19
1,99,1,2,9220,10143,5,1,92.5,94,16/06/19
1,99,1,3,9221,10143,5,1,92.5,94,16/06/19
1,99,1,4,9222,10143,5,1,92.5,94,16/06/19
1,96,2,1,8367,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,2,8368,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,3,8369,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,4,8370,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,5,8371,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,6,8372,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,7,8373,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,8,8374,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,9,8375,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,10,8376,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,11,8377,3587,0.1,1,90.97,92.52,16/06/19
1,96,2,12,8378,3587,0.1,1,90.97,92.52,16/06/19
1,51,6,1,8910,4011,0.1,0.1,90.71,92,16/06/19
1,51,6,2,8911,0,0.1,0.1,90.52,90.52,16/06/19
1,51,6,3,8912,-995,0.1,0.1,93.82,93.5,16/06/19
1,51,6,4,8913,0,0.1,0.1,94.4,94.4,16/06/19
1,51,6,5,8914,11475,0.1,0.1,90.4,94.09,16/06/19
1,51,6,6,8915,0,0.1,0.1,90.55,90.55,16/06/19
1,51,6,7,8916,10822,0.1,0.1,90.57,94.05,16/06/19
1,51,6,8,8917,13372,0.1,0.1,90.43,94.73,16/06/19
1,51,6,9,8918,0,0.1,0.1,94.27,94.27,16/06/19
1,51,6,10,8919,995,0.1,0.1,93.5,93.82,16/06/19
1,82,6,1,9008,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,2,9009,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,3,9010,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,4,9011,11226,0.1,0.1,90.38,93.99,16/06/19
1,82,6,5,9012,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,6,9013,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,7,9014,11226,0.1,0.1,90.38,93.99,16/06/19
1,82,6,8,9015,11226,0.1,0.1,90.38,93.99,16/06/19
1,82,6,9,9016,0,0.1,0.1,90.38,90.38,16/06/19
1,82,6,10,9017,11226,0.1,0.1,90.38,93.99,16/06/19
1,129,6,1,4039,0,0.1,0.1,90.08,90.08,16/06/19
1,129,6,2,4040,6188,0.1,0.1,89.98,91.97,16/06/19
1,129,6,3,4041,10542,0.1,0.1,90.03,93.42,16/06/19
1,129,6,4,4042,0,0.1,0.1,91.94,91.94,16/06/19
1,129,6,5,4043,0,0.1,0.1,90.08,90.08,16/06/19
1,129,6,6,4044,6095,0.1,0.1,90.14,92.1,16/06/19
1,129,6,7,4045,6313,0.1,0.1,89.95,91.98,16/06/19
1,129,6,8,4046,6437,0.1,0.1,90.07,92.14,16/06/19
1,26,1,1,9211,37631,5,1,92.05,94,15/06/19
1,26,1,2,9212,33069,5,1,92.5,94,15/06/19
1,26,1,3,9213,33069,5,1,92.5,94,15/06/19
1,26,1,4,9214,33069,5,1,92.5,94,15/06/19
1,35,1,1,8017,-14599,1,1,94,92.56,15/06/19
1,35,1,2,8018,0,1,1,82.01,82.01,15/06/19
1,35,1,3,8019,85671,1,1,85.56,94.01,15/06/19
1,35,1,4,8020,14396,1,1,92.58,94,15/06/19
1,35,1,5,8021,15208,1,1,92.51,94.01,15/06/19
1,35,1,6,8022,0,1,1,90.04,90.04,15/06/19
1,99,1,1,9219,33069,5,1,92.5,94,15/06/19
1,99,1,1,9219,33069,5,1,92.5,94,15/06/19
1,99,1,2,9220,33069,5,1,92.5,94,15/06/19
1,99,1,2,9220,33069,5,1,92.5,94,15/06/19
1,99,1,3,9221,33069,5,1,92.5,94,15/06/19
1,99,1,3,9221,33069,5,1,92.5,94,15/06/19
1,99,1,4,9222,33069,5,1,92.5,94,15/06/19
1,99,1,4,9222,33069,5,1,92.5,94,15/06/19
1,122,4,3,8295,70705,10,1,90.99,94,15/06/19
1,122,4,3,8295,70705,10,1,90.99,94,15/06/19